Team,Matches played,wins,draws,loses,Goals scored,Goals conceded,goal difference,points,Number of red cards,Number of yellow cards,Competition,Team captain,Best player,last 5
Arsenal,11,7,3,1,23,9,14,24,1,17,Champions League,Martin Odegard,Bukayo Saka,
Man united,11,6,0,5,12,16,-4,18,0,26,Champions League,Bruno Fenandez,Marcus Rashford,
Chelsea,10,3,3,4,13,11,2,12,1,30,none,Reece James,Enzo Fenandez,
Manchester city,11,9,0,2,28,8,20,27,3,20,Champions League,Kyle Walker,Erling Halaand,
Liverpool,11,7,3,1,24,10,14,24,4,19,Europa League,Virgil Van Djik,Moh Salah,
Newcastle,11,6,2,3,27,11,16,20,0,32,Champions League,Kieran Trippier,Antony Gordon,
Totenham,10,8,2,0,22,9,13,26,1,31,none,Son Heung Min,Son Heung Min,
Brighton ,11,5,3,3,24,20,4,18,0,27,Europa League,Luis Dunk,Kaoru Mitoma,
Crystal Palace,11,4,3,4,10,13,-3,15,0,21,none,Joel Ward,Odsonnne Edouard,
Aston Villa,11,7,1,3,26,16,10,22,0,26,Conference League,John McGin,Ollie Watkins,
Wolves,11,3,3,5,14,19,-5,12,2,36,none,Max Kilman,Hee Chan Hwang,
Luton town,11,1,3,7,10,21,-11,6,0,18,none,Tom Lockyer,Charlton Morris,
Nottingham Forest,11,3,4,4,12,15,-3,13,2,30,none,Joe Warral,Taiwo Awoniyi,
Fulham,11,3,3,5,9,17,-8,12,2,28,none,Thomas Carney,Joao Palinha,
Brentford,11,4,4,3,19,14,5,16,0,28,none,Christian Norgad,Bryan Mbeumo,
Burnley,11,1,1,9,8,27,-19,4,3,23,none,Jack cork,Lyle Foster,
Everton,11,3,2,6,11,15,-4,11,2,18,none,Seamus Coleman,Amadou Onana,
Sheffield united,11,1,1,9,9,30,-21,4,1,31,none,Chris Basham,John Egan,
Westham,11,3,3,5,9,17,-8,12,29,1,Europa League,James Wordprowse,Gerard Bowen,
Bournemouth,11,1,3,7,9,27,-18,6,1,18,none,Neto,Dominic Solanke,
